Question,Answer
What is AI?,Artificial Intelligence is the simulation of human intelligence in machines
How does machine learning work?,Machine learning uses algorithms to learn patterns from data
What is deep learning?,Deep learning is a subset of machine learning using neural networks
What is Python?,Python is a high-level programming language
What is data science?,Data science combines statistics programming and domain expertise
What is a neural network?,Neural networks are computing systems inspired by biological neural networks
What is supervised learning?,Supervised learning uses labeled data to train models
What is unsupervised learning?,Unsupervised learning finds patterns in data without labels
What is reinforcement learning?,Reinforcement learning trains agents through rewards and penalties
What is natural language processing?,NLP helps computers understand and process human language
What is computer vision?,Computer vision enables machines to interpret visual information
What is big data?,Big data refers to extremely large datasets that require special tools
What is cloud computing?,Cloud computing delivers computing services over the internet
What is cybersecurity?,Cybersecurity protects digital systems from threats and attacks
What is blockchain?,Blockchain is a decentralized digital ledger technology
What is IoT?,Internet of Things connects everyday devices to the internet
What is robotics?,Robotics involves designing and building programmable machines
What is quantum computing?,Quantum computing uses quantum mechanics for computation
What is augmented reality?,AR overlays digital information onto the real world
 is virtual reality?,VR creates immersive digital environments for users
What